name,sku,barcode,category,retail_price,wholesale_price,modal_price,stock
Trcuk Animal,AVR-00088,TA001,Mainan,30000.0,28500.0,22000.0,10000
Senjata Anak-anak,AVR-00089,SJT01,Mainan,3000.0,2850.0,666.0,10000
Vanon Ungu,AVR-00090,8994523 121040,Mandi & Cuci (MCK),55000.0,52250.0,43000.0,10000
Marlboro Putih,AVR-00091,76239878,Rokok,40000.0,38000.0,25600.0,10000
Venon,AVR-00092,8994523101707,Mandi & Cuci (MCK),70000.0,66500.0,55000.0,10000
Venon,AVR-00093,8994523121231,Mandi & Cuci (MCK),70000.0,66500.0,55000.0,10000
inMILD,AVR-00094,8991926101013,Rokok,22000.0,20900.0,17250.0,10000
-,AVR-00095,89999909028999,Rokok,20000.0,19000.0,18000.0,10000
HB Cintra Pink Besar,AVR-00096,8999999513245,Kosmetik,22000.0,20900.0,16750.0,10000
Marlboro Merah,AVR-00097,76164217,Rokok,40000.0,38000.0,28000.0,10000
Minyak Kutus Kutus,AVR-00098,212004,Obat,230000.0,218500.0,170000.0,10000
Celana Bayi,AVR-00099,CLBY01,Pakaian,11000.0,10450.0,7666.0,10000
Sepatu Bapao,AVR-00100,SDL 1,Keperluan Sekolah,45000.0,42750.0,24750.0,10000
